longitude,latitude,type,address,city,state,zip
-76.3056282,40.1150404,Sheetz,3505 Lititz Pike, Lititz,PA,17543
-76.3083,40.1758,Sheetz,701 Furnace Hills Pike, Lititz,PA,17543
-77.0867,39.7447,Sheetz,35 E King St, Littlestown,PA,17340
-79.7461,40.5881,Sheetz,203 Craig Dell Road, Lower Burrell,PA,15068
-76.7231,40.0481,Sheetz,4309 N George Street Ext, Manchester,PA,17345
-76.382359,40.13955,Sheetz,1205 Lancaster Road, Manheim,PA,17545
-77.0794,41.8069,Sheetz,85 West Wellsboro Street, Mansfield,PA,16933
-76.5417,40.0633,Sheetz,1158 River Rd, Marietta,PA,17547
-77.9894,39.9294,Sheetz,720 Lincoln Way E, Mcconnellsburg,PA,17233
-80.129551,40.454074,Sheetz,5554 Steubenville Pike, Mckees Rocks,PA,15136
-80.2042,41.6228,Sheetz,16590 Conneaut Lake Rd, Meadville,PA,16335
-80.1689,41.6203,Sheetz,18425 Smock Hwy, Meadville,PA,16335
-76.9919,40.1933,Sheetz,1415 S Market St, Mechanicsburg,PA,17055
-76.9789,40.2189,Sheetz,5201 Simpson Ferry Rd, Mechanicsburg,PA,17050
-76.9931,40.2431,Sheetz,6054 Carlisle Pike, Mechanicsburg,PA,17050
-77.0286,40.2464,Sheetz,6558 Carlisle Pike, Mechanicsburg,PA,17050
-80.2403,41.2269,Sheetz,105 N Erie St, Mercer,PA,16137
-79.0256,39.8128,Sheetz,24 Center St, Meyersdale,PA,15552
-76.755,40.1989,Sheetz,1401 West Harrisburg Pike, Middletown,PA,17057
-77.0308,40.9236,Sheetz,240 E Chestnut St, Mifflinburg,PA,17844
